MGN,CPUTIME_SYS,CPUTIME_USR,CS_INVOLUNTARY,CS_VOLUNTARY,MAJFLT,MAXMEM(KB),MINFLT,PYTHON,RUN_NO,WCTIME
M04,1.89,0.20,2,57000,0,39968,5570,py27,1,9.59
M04,1.89,0.18,2,58005,0,39968,5570,py27,2,9.50
M04,1.88,0.18,6,58340,0,39968,5570,py27,3,9.50
M04,1.90,0.18,2,59170,0,39968,5570,py27,4,9.54
M04,1.86,0.20,3,58804,0,39968,5570,py27,5,9.44
M04,1.87,0.20,2,58290,0,39968,5570,py27,6,9.51
M04,1.89,0.17,5,57932,0,39968,5570,py27,7,9.48
M04,1.85,0.24,2,58260,0,39968,5570,py27,8,9.50
M04,1.84,0.19,2,59790,0,39968,5570,py27,9,9.50
M05,1.91,20.23,34,58270,0,196496,15393,py27,1,29.50
M05,1.90,20.49,32,56051,0,196496,15393,py27,2,29.48
M05,1.92,20.56,33,56998,0,196576,15388,py27,3,29.91
M05,1.90,20.14,32,58117,0,196544,15390,py27,4,29.71
M05,1.92,20.62,34,56961,0,196688,15380,py27,5,32.11
M05,1.89,20.69,33,59084,0,196688,15380,py27,6,31.31
M05,1.90,20.64,33,58653,0,196688,15380,py27,7,32.49
M05,1.90,20.23,35,58232,0,196624,15385,py27,8,31.39
M05,1.95,20.38,33,56799,0,196576,15392,py27,9,31.44
M13,1.94,127.26,196,58056,0,267424,19807,py27,1,138.71
M13,1.90,126.96,195,57615,0,267424,19789,py27,2,136.98
M13,1.93,127.06,199,57084,0,267424,19788,py27,3,136.69
M13,2.66,126.57,195,39782,0,267424,19785,py27,4,136.34
M13,2.62,126.57,195,39782,0,267424,19807,py27,5,136.02
M13,2.66,126.41,194,39786,0,267424,19790,py27,6,135.96
M13,2.69,126.27,197,39783,0,267424,19807,py27,7,136.15
M13,2.74,126.61,196,39781,0,267424,19806,py27,8,136.01
M13,2.72,126.35,195,39788,0,267424,19791,py27,9,135.77
M21,2.48,5.17,12,39760,0,56848,6625,py27,1,14.44
M21,2.49,5.12,11,39760,0,56848,6625,py27,2,14.54
M21,2.40,5.24,13,39764,0,56864,6629,py27,3,14.53
M21,2.37,5.27,12,39761,0,56848,6625,py27,4,14.66
M21,2.33,5.30,12,39763,0,56864,6628,py27,5,14.52
M21,2.54,5.13,11,39760,0,56848,6625,py27,6,15.28
M21,2.48,5.20,12,39760,0,56848,6625,py27,7,14.36
M21,2.49,5.17,12,39760,0,56848,6625,py27,8,14.31
M21,2.41,5.24,16,39760,0,56848,6625,py27,9,14.45
M04,3.26,0.59,92,57903,0,222976,24652,pypy,1,13.94
M04,3.29,0.52,92,57903,0,222976,24652,pypy,2,13.69
M04,3.17,0.63,91,57903,0,222976,24652,pypy,3,13.72
M04,3.25,0.56,91,57903,0,222976,24651,pypy,4,13.29
M04,3.29,0.54,92,57903,0,222976,24652,pypy,5,13.39
